74,-1,-1,-1,-1
0,440,7080,5,2000000001
20,0,18,200,0
38,125,757,8,0
785,133,10,23,0
785,156,7,18,0
790,208,64,5,2000000001
818,97,6,22,0
820,119,4,6,0
823,126,5,17,0
825,97,190,4,0
1012,101,3,98,0
1111,97,31,4,0
1111,102,3,50,0
1139,102,3,50,0
1239,97,68,5,0
1239,102,3,50,0
1267,102,3,50,0
1270,208,100,6,2000000001
1395,208,994,5,2000000001
1331,112,67,24,0
1392,136,6,63,0
1476,124,20,33,0
1496,112,102,12,0
1598,125,22,5,0
1621,112,31,13,0
1647,126,5,72,0
1681,140,23,19,0
1730,124,18,35,0
1749,112,49,15,0
1799,127,16,32,0
1843,112,131,46,0
1974,142,30,16,0
2005,112,8,46,0
2013,112,316,10,0
2371,112,181,33,0
2540,145,8,238,0
2559,337,202,14,0
2647,304,14,33,0
2662,290,74,47,0
2736,306,10,31,0
2772,112,8,271,0
2780,112,108,17,0
2782,158,8,63,0
2797,200,6,255,0
2803,150,71,8,0
2882,129,6,10,0
2804,385,31,14,0
2868,385,31,14,0
2900,192,33,193,0
2933,141,479,48,0
3181,189,6,194,0
3198,336,203,14,0
3285,304,18,32,0
3303,289,71,47,0
3374,302,12,34,0
3407,141,293,34,0
3412,175,8,209,0
3764,128,18,30,0
3783,112,204,46,0
3695,208,4000,5,2000000001
4052,112,195,46,0
4308,77,32,122,0
4340,77,32,50,0
4403,77,64,50,0
4498,77,226,49,0
4821,112,31,87,0
4852,120,45,35,0
4897,129,46,26,0
4943,135,36,20,0
4979,141,306,35,0
5330,112,33,31,0
5363,112,257,31,0
5699,141,450,50,0
6224,191,855,13,0
