5,-1,-1,-1,-1,-1
-10,990,10,300,0,0
0,1175,542,50,0,1
63,1052,96,28,0,0
72,1080,87,10,0,0
127,1090,32,37,0,0
136,1128,23,8,0,0
158,1019,511,36,0,0
476,307,32,711,0,0
508,987,399,30,0,1
508,908,33,79,0,1
508,636,48,61,0,1
508,697,271,31,0,1
543,1143,254,82,0,1
560,409,205,161,0,1
575,825,384,32,0,1
638,570,295,33,0,1
669,1019,8,15,0,0
764,413,32,156,0,1
796,423,224,68,0,1
798,779,33,46,0,1
798,1115,128,31,0,1
831,603,128,222,0,0
926,1082,33,65,0,1
959,568,29,582,0,0
1012,500,442,10,2000000001,0
1070,423,113,67,0,1
1229,423,128,67,0,1
1406,423,63,67,0,1
1469,376,129,114,0,1
1598,395,85,95,0,1
1683,436,98,54,0,1
1781,469,32,88,0,1
1813,500,64,57,0,1
1846,292,621,66,0,0
1877,358,80,29,0,0
1877,532,64,119,0,1
1887,387,55,11,0,0
1941,563,95,90,0,1
1942,387,168,67,0,0
1959,454,80,8,0,0
1973,462,66,7,0,0
1986,469,53,7,0,0
2036,596,68,109,0,1
2039,476,97,23,0,0
2047,499,88,8,0,0
2104,659,269,46,0,1
2134,507,67,25,0,0
2143,532,58,8,0,0
2199,540,104,24,0,0
2214,564,287,10,0,0
2374,627,81,46,0,1
2455,654,470,51,0,0
2680,596,28,58,0,1
2924,642,107,63,0,1
3098,623,136,81,0,1
3014,708,1113,15,2000000001,0
3234,626,44,68,0,1
3278,651,40,53,0,1
3383,692,97,18,0,1
3543,692,80,21,0,1
3671,660,112,45,0,1
3752,372,237,55,0,0
3784,644,64,61,0,1
3900,620,33,85,0,1
3933,605,27,100,0,1
3960,520,30,101,0,1
3990,354,50,33,0,0
3990,597,44,24,0,1
4033,547,119,74,0,1
4152,372,287,249,0,1
4281,309,29,63,0,1
4438,525,893,49,2000000001,0
4502,388,161,143,0,1
4729,387,16,148,0,1
4746,374,110,152,0,1
4760,340,31,34,0,1
4856,339,161,104,0,1
5018,303,48,65,0,1
5066,292,46,76,0,1
5110,427,64,15,2000000001,0
5176,244,64,153,0,1
5240,212,31,33,0,1
5272,242,51,48,0,1
5315,232,53,45,0,1
5368,191,41,55,0,1
5409,182,32,54,0,1
5442,169,27,54,0,1
5465,133,30,52,0,1
5495,163,46,22,0,1
5496,0,63,20,0,0
5512,20,47,10,0,0
5528,30,31,23,0,0
5541,53,18,7,0,0
5541,154,34,17,0,1
5559,61,369,41,0,0
5575,148,353,34,0,0
5906,0,22,102,0,0
5928,178,309,52,0,0
6237,0,56,231,0,0
